Category,Title,Date,Description,Tutorial,Resource,Related tasks,Image,Image file name,Required,Workload
Guest,Work on seating,2/1/2015,"Seating assignments isn’t exactly an easy task. It's better to work the experienced ones, i.e. your parents, officiants and your married friends.","1. Keep aware someone will not attend and some will neglect the RSVP
2. Make follow-up calls to invitees who haven't responded
3. Notify the final number to caterer, venues, planner, cake baker
4. Work on seating with parents and partner
5. Ask officiant about seating during ceremony","Creating A Seating Chart With No Tears - A Practical Wedding|http://apracticalwedding.com/2013/08/wedding-seating-chart-tips/,Fotavo Wedding Escort Cards - Pinterest|http://www.pinterest.com/fotavo/wedding-escort-cards/",,https://img0.etsystatic.com/004/0/6750043/il_fullxfull.389366054_sg36.jpg,,Required,0
Guest,Make escort cards,2/1/2015,"If you ordered escort cards, it's time to pick them up and organize them. If you're doing the DIY route, then now is the time to start working on them.","1. If you order escort cards, make sure you have extra 10 
2. If you DIY escort cards, you shall start now. Keep in mind, you need extra 10 for in case",,,http://lh3.ggpht.com/uYDrGUzJLBwAeUOVD8gQbzvPoG19L6RDPOSUnrZxfWOtoUksEpawCMjQmdlnauv2Xia3egXFA4GB9M4p7vA5OA=s0,,Required,0
Guest,Buy programs,2/1/2015,"Programs not only help guide guests through the ceremony, but make charming moments. ","1. Save program photos and wording online
2. Draft one with your style",Fotavo Wedding Program - Pinterest|http://www.pinterest.com/fotavo/wedding-program/,,,buy_programs.jpg,Optional,0
Guest,Prepare thank-you cards,2/1/2015,"Ideally, you should try to get them done within two months of your wedding.","1. Buy thank you cards
2. Find a blue or black ink pen with which you are comfortable writing
3. Address cards
4. Plan to write your notes as soon after you get gifts 
5. Add a brief comment about the gift you received
6. Add your couple's names and return address
7. Schedule the mailing",Wedding Thank You Card Etiquette - Storkie|http://www.storkie.com/t-wedding-thank-you-cards-etiquette.aspx,,,,Optional,0
PhotographyAndVideography,Book photographers,11/1/2014,"Now that you've met with a few, it's time to make a decision and book. Call references first (it can't hurt to double-check), then request a contract and review it for all the critical points.","1. Decide your wedding style and service range, including copyrights
2. Research photographers with their real albums
3. Interview the finalists with finance, and check their availability and equipments
4. Book photographers and confirm the payment schedule and insurance policy","How to Choose The Perfect Wedding Photographer - Wedding Paper Divas|http://www.weddingpaperdivas.com/wedding-paper-divas-choosing-right-wedding-photographer.htm,12 things wedding photographers want to tell you but can't - Offbeat Bride|http://offbeatbride.com/2013/07/wedding-photography-secrets,Getting Started: Finding a Great Wedding Photographer - TheKnot|http://wedding.theknot.com/wedding-planning/wedding-photography-videography/articles/wedding-photography-getting-started.aspx",,,Book_photographers.jpg,Required,0
PhotographyAndVideography,Take engagement photos,11/1/2014,"They're an extra cost but an engagement photo shoot is well worth the money. Why? Besides the fact you'll get great photos, you'll feel more comfortable having a camera pointed at you on the day of.","1. Schedue engagement
2. Connect stylists with photographers
3. Take weather and season into consideration
4. Confirm photo delivery time","26 Tips For Taking The Perfect Engagement Photo - BuzzFeed|http://www.buzzfeed.com/robinedds/tips-for-taking-the-perfect-engagement-photo#1ueg0iz,Wedding Photography: Engagement Photo Basics - TheKnot|http://wedding.theknot.com/getting-engaged/engaged/articles/engagement-photo-basics.aspx",,http://lh5.ggpht.com/T2oAypLybW8DooHZ_MaMjr5hGCBWFqZJ8Wmecw-PSsOFLRc9e68LzS9K2Umq98NGK2w1_dYR7XCkpH0NDjbGPAzK=s0,,Required,0
PhotographyAndVideography,Book videographers,12/1/2014,"A wedding video captures what the photos can't -- like your father's speech, your first dance, or your dress in motion. Research the pros, read our tips, and set up time to meet with your favorites.","1. Decide your wedding style and service range, including copyrights, music
2. Research videographers with their sample videos
3. Interview the finalists with finance, and check their availability and equipments
4. Book videographers and confirm payment schedule and insurance policy",Tips for Booking a Wedding Videographer - Tower Studios|http://www.towervideophoto.com/2011/11/20/tips-for-booking-a-wedding-videographer/,,http://www.cardinalbridal.com/wp-content/uploads/2014/04/importance-of-wedding-videography2.jpg,,Optional,0
PhotographyAndVideography,Confirm shotlist,2/1/2015,Make sure every loved ones has a picture with you on the day.,"1. Getting ready
2. Before the bride and groom see each other
3. Important moments",Must-Take Wedding Photo Checklist - Real Simple|http://www.realsimple.com/weddings/ceremony/must-have-wedding-photos-00000000000226/,,http://lh4.ggpht.com/MRfO0TO9dtDihum-bOWvbU2c3HwN0CSLLXCx7Ot-Dc0h87ayM9pVYgSn7wVo-xPlPXyvX5-JPLZyjxuXasZDwA8=s0,,Required,0
AttireBeautyAndRing,Book beauty stylists,11/1/2014,You obviously want your hair to look impeccable and match your wedding theme.,"1. Save and share photos of your favorite styles with stylists
2. Tell your allergy history
3. Schedule trials with a few stylists. You can do one on the engagement photo day.
4. Confirm payment scheule and sign the contract","Bridal Beauty: Brows that Wow - TheKnot|http://wedding.theknot.com/wedding-beauty-tips/bridal-beauty-secrets/articles/bridal-beauty-brows-that-wow.aspx,Bridal Beauty: Top Wedding Beauty Q&A - TheKnot|http://wedding.theknot.com/wedding-beauty-tips/bridal-beauty-secrets/articles/top-bridal-beauty.aspx",,,book_beauty_stylists.jpg,Required,0
AttireBeautyAndRing,Try on wedding dresses,12/1/2014,It's time to try on those styles you've been saving to your board! So grab your mom or best friend and make appointments at several stores. And give yourselves at least two hours at each store.,"1. Save photos of your dream dresses
2. Call shops in advance
3. Be open to different styles 
4. Wear your wedding-day undergarments to shops
5. Buy the size that fits the biggest part of your body
6. Bring a shopping buddy who has your best interest in mind","33 Crucial Tips To Find The Wedding Dress Of Your Dreams - BuzzFeed|http://www.buzzfeed.com/juliegerstein/wedding-dress-shopping-tips#1ueg0iz,How to find a wedding dress: 21 things I wish I'd known - Today Style|http://www.today.com/style/how-find-wedding-dress-21-things-i-wish-id-known-2D79793378",,,try_on_wedding_dress.jpg,Required,0
AttireBeautyAndRing,Buy your dresses,12/1/2014,"You want to give yourself plenty of time to order the dress and then to have alterations and fitting appointments. Once you buy it, you’ll also want to schedule time for your first dress fitting.","1. Schedule payment and sign contract
2. Ask delivery time
3. Schedule the first fitting and ask recommendations of undergarments","Wedding Dress Shopping Countdown - TheKnot|http://wedding.theknot.com/bridal-fashion/wedding-dress-shopping/articles/wedding-gown-shopping-checklist.aspx,10 Wedding Dress Buying Mistakes to Avoid - eBay|http://www.ebay.com/gds/10-Wedding-Dress-Buying-Mistakes-to-Avoid-/10000000177632540/g.html",,http://lh6.ggpht.com/0qwjt5ZR_BJbE61oU6Fiszw6v_oSnfEQyArv2n6ZIinXeogqSTq8TnycOHYNM2tBgmPJ-VfzNAzqgkD_JQrDYtU=s0,,Required,0
AttireBeautyAndRing,Buy or rent men's attire & extras,12/1/2014,"Tuxedos or suits? Decide what you want the guys to wear and how you want them to look. Hint: Usually time, place, and formality are the driving forces behind your choice.","1. Save photos of his dream attire
2. Make appointments
3. Be open to different styles 
4. Ask tailoring
5. Bring a shopping buddy who has your best interest in mind
6. Confirm delivery and cancellation policy before purchase","How to Choose a Tuxedo for the Groom - WikiHow|http://www.wikihow.com/Choose-a-Tuxedo-for-the-Groom,I Do’s (and Don’ts) - For Choosing Your Formalwear Provider - TUXEGO|http://www.tuxego.com/i-dos-and-donts.php",,,buy_or_rent_mens_attire.jpg,Required,0
AttireBeautyAndRing,Buy bridesmaid dresses,1/1/2015,"Once you have a good idea as to how you want them to look, take one or all of your bridesmaids dress shopping. Then make your pick!","1. Consider their personal preferences and concerns and your theme color
2. Claify who pay for the attire first
3. Send them color swatches if they select their own dresses","12 Tips for Choosing the Right Look - TheKnot|http://wedding.theknot.com/bridal-fashion/bridesmaid-dresses/articles/12-tips-for-choosing-the-right-bridesmaid-dresses.aspx,The First 5 Steps to Shopping for Bridesmaid Dresses - Real Simple|http://www.realsimple.com/weddings/dress-attire/bridesmaid-dress-shopping-00100000098651/",,,buy_bridesmaid_dresses.jpg,Required,0
AttireBeautyAndRing,Buy wedding rings,1/1/2015,"You'll want to give yourselves a couple months to browse, research price and revisit rings that catch your eye.","1. Browse all the resources, research price
2. Ask your friends for recommendations","10 Quick Tips on Choosing a Wedding Band - Overstock|http://www.overstock.com/guides/10-quick-tips-on-choosing-a-wedding-band,How To Pick a Weding Band That Works With Your Engagement Ring - Brides|http://www.brides.com/wedding-dresses-style/2012/05/matching-engagement-rings-and-wedding-bands#slide=1",,,buy_wedding_rings.jpg,Required,0
AttireBeautyAndRing,Have your fitting,1/1/2015,It's a good idea to bring one person (your mom or a friend) along with you for this. That way they can weigh in on how the dress fits you and make you feel more comfortable during the appointment.,"1. Ask at least one people to come along
2. Bring essentials to the fitting
3. Schedule the next fitting","Bridal Fittings 101: advice from a former tailor shop employee - Offbeat Bride|http://offbeatbride.com/2009/12/bridal-fitting-advice,All You Need to Know About Wedding Dress Fittings - Brides|http://www.brides.com/wedding-dresses-style/wedding-dresses/2009/07/all-you-need-to-know-about-wedding-dress-fittings",,,have_your_fitting.jpg,Required,0
AttireBeautyAndRing,Have hair trial,1/1/2015,Have a hair trial with your stylist. Don’t forget to bring your wedding veil to make sure it works with your style. You should also finalize your wedding day beauty appointments now.,"1. Bring anything you might want in your hair to the trial.
2. Estimate the time of design and post-trial lasting time
3. Ask your wedding party if they also need beauty services","How to Prepare for Your Hair Trial - Bridal Guide|http://www.bridalguide.com/blogs/fashion-beauty/wedding-hair-trial,Fotavo Makeup & Hairstyle - Pinterest|http://www.pinterest.com/fotavo/makeup-hairstyle/,9 Tips For Acing Your Wedding Hair Trial - Brides|http://www.brides.com/wedding-dresses-style/wedding-hair/2012/05/how-to-have-a-great-wedding-hair-trial#slide=5",,,have_your_hair_trial.jpg,Required,0
AttireBeautyAndRing,Buy dress accessories,2/1/2015,The right jewelry and shoes completes the look. So figure out how you want to finish off your look and then buy it before your final dress fitting.,"1. Headpiece 
2. Veil
3. Shoes
4. Lingerie
5. Garter
6. Gloves
7. Handbag
8. Sashes
9. Jewelry (necklace,earings, bracelet)",Dress Accessories - Fotavo|http://www.fotavo.com/photos/photob3qPWhonKw1zfA0MGQ6mxdv9a7jSOtuHy8gF4YRe,,http://lh4.ggpht.com/fWp3l9eD6FDjWaIISvR0v6pvBPSs0VVguwTQLZnXgQx4gBnhiDMqTcyXsg0peqQL0sPT0UlLecL_CQwBKlyRr1E=s0,,Optional,0
FoodToastAndEntertainment,Book caterer,12/1/2014,Treat your guests with a set of delicious food.,"1. Ask your venue if they recommend someones
2. Make sure who is the chef on your day
3. Ask to see the operating license or health permit
4. Confirm the style: seated, buffet, station and cocktail
5. Ask for menu suggestions to fit your budget, style, season and allergy concerns
6. Ask if anything is free, i.e. sodas, corkage fee
7. Schedule the payment and sign the contract",Complete Guide To Hiring A Caterer - Our Dream Wedding|http://www.ourdreamwedding.com/index.cfm?page=wedding_articles_1&crid=60,,http://lh5.ggpht.com/xg45TxSH4Kyb1M4H41gi8dgRNPc8wuyYQptgiztbaKQNVlxg-GNNQnmYzoEm09LfTccHTDruLnDh0NVJsryqbA=s0,,Optional,0
FoodToastAndEntertainment,Book DJ / band,1/1/2015,"Music helps set the mood for the entire wedding, and highlights certain moments.","1. Interview 2-3 finalists
2. Ask their suggestions to fit your wedding
3. Ask if they will be the master of reception
4. Confirm payment schedule and sign the contract
5. Confirm the song list with timeline","Questions to Ask a DJ - mydeejay|http://mydeejay.com/wedding-advice/questions-to-ask-a-dj-wedding,15 Questions You Gotta Ask Wedding DJs - j'adoreDJs|http://www.jadoredjs.com/15-questions-ask-wedding-djs",,http://lh5.ggpht.com/T4ysWGftTBecdIEXPjwSsHUhCpFE9FwgmJE0JS2IIaOhe4ouGqKFFBiz2hIJPfuypsZNMwtgm8w9CG5RrOHE50M=s0,,Required,0
FoodToastAndEntertainment,Book cake baker,1/1/2015,"Once you've had a chance to taste all the samples (yum), and talk design, decide on a baker. Request a contract and make sure all the details are there (like flavor and fillings). Then book!","1. Take catering menu, allergy history into consideration 
2. Save photos of your dream cake
3. Schedule cake tastings 
4. Show your saved photos to them and check their previous work
5. Check if the venue/cake baker requires a cake-cutting fee
6. Confirm the delivery and rental items
7. Schedule the payment and sign the contract ",How to Get a Lower Wedding Cake Price - WikiHow|http://www.wikihow.com/Get-a-Lower-Wedding-Cake-Price,,http://lh5.ggpht.com/0UOwCMPy_j5kVZ0QcMvC9EQ-Fo4dqjgnbbZB3yZgj-ig-BQyxOYqGEvfzTWBHz_UP7IgnkSPed05chkUODBQ22k=s0,,Required,0
FoodToastAndEntertainment,Choose cakes,1/1/2015,Cake tasting time! ,"1. Visit cake bakers to taste cakes
2. Choose cake flavors
3. Choose a topper (online / in-store)",,,http://lh3.ggpht.com/8tPZQIPtrJ4AdkJ4VaEywdLcZHI5vR-Bem8d-i1pUsMbxp7P0TMCFW980lpy6bqvBiuu5gLd2ZKzZed6XkVdeAPb=s0,,Required,0
FoodToastAndEntertainment,Book ceremony musicians,1/1/2015,Traditional organ? Or modern DJ music? Put together a budget for your ceremony music and then start your search. ,"1. Interview 2-3 options
2. Ask their suggestions to fit your wedding
3. Check if they need sheet music or equipment
4. Confirm payment schedule and sign the contract
5. Go through the details with site coordinator and officiant, i.e. timing
6. Confirm the song list with timeline",Practical Advice from Art-Strings - Art-Strings|http://www.art-strings.com/faq.htm,,,,Optional,0
FoodToastAndEntertainment,Prepare toasts,2/1/2015,"Among the big glass-clinking moments, there's the rehearsal dinner and the reception dinner. Plan to say a few words. Look through our list of ideas and then print out or come up with your own toast.","1. Clarify the relation with the couple
2. Share an anecdote
3. Offer a compliment","Write and Give a Great Wedding Toast - About Travel|http://honeymoons.about.com/od/weddingsaway/ht/wedding_toast.htm,Samples of Wedding Toasts - About Style|http://weddings.about.com/od/theweddingparty/a/toastsamples.htm",,http://lh6.ggpht.com/O6iBpbOUCF8mgqgSNqlMkC1wSb_iNyv9c4QYoFYuBmdbIQ_C4PUUr0DQQE6vK6Lpox71ni9AyAshI4gqNd2KCg=s0,,Required,0
FoodToastAndEntertainment,Take dance lessons,2/1/2015,"If you dread the idea of all eyes on you during the first dance, you might want to consider dance lessons. (Also makes for a fun date night in the midst of all the planning!)","1. Choosing a dance style and song
2. Be patient when learning
3. Practice in the right shoes
4. Be consistent with your appointments","Wedding Dance Lessons - Arthur Murray|http://arthurmurray.com/wedding-dance-lessons/,Hottest Songs for Every Element of Your Wedding (keep updating) - Fotavo Tumblr|http://fotavo.tumblr.com/post/93132715364/hottest-songs-for-every-element-of-your-wedding-keep",,http://media.tumblr.com/8ab13ec63a971ace59817e1d66b14855/tumblr_inline_n9fr4euWYd1sd18uf.jpg,,Optional,0
FlowerAndDecor,Book florist ,12/1/2014,"A qualified florist can help you narrow down your options, custom-design bouquets and display for you within the budget.","1. Interview 3-5 florists and see their samples
2. Save and share photos of floral design and your wedding theme color with florists
3. Select all floral items and designs
4. Give table, aisle, gazebo sizes 
5. Schedule payment and sign contract
6. Confirm date, time, delivery and locations with florist",Florist - Fotavo|http://www.fotavo.com/photos/photobvOQZSAJCiezaEckIXYs39Md68tBRmn05DgwKyxT,,http://lh4.ggpht.com/dE4gQ5e4PVTUsyYIM8MNgwzN-4Osv5IOXjCwaCXMSzR42EokZl2VJ0LEPW80Pdl7uX9hjLW7dJt75_WmQM85XY7M=s0,,Required,0
FlowerAndDecor,Choose flowers,1/1/2015,,,,,,,Required,0
FlowerAndDecor,Prepare decor,1/1/2015,"Ask friends,family to join the fun projects!","1. Save decor photos for ceremony
2. Check how to make them real
3. Invite others to join the projects
4. Don't make the schedule stressful",Lace Up Your Wedding: 6 DIY Projects - BRIT+CO|http://www.brit.co/lace-up-your-wedding-6-diy-projects/,,http://pixel.brit.co/wp-content/uploads/2012/03/TableRunner2.jpg,,Optional,0
FlowerAndDecor,Order rentals & lighting,2/1/2015,Upgrade your decoration now!,"1. Ask venues for referrals and quatity estimation
2. Check their inventory, delivery, insurance policy
3. Schedule payment and sign contract",,,http://lh4.ggpht.com/PDoVqoemxOy4zSfgc2Fmso4U9HTCqX_E5mTNgGWUa50r2UPyj7cqQWHJvyjN4ntMeCAMX6TpR6sN_1W_8jN5J3Q=s0,,Optional,0
FinishUp,Get marriage license,1/1/2015,"Before you head down to the clerk's office, check out their website. Most counties won't let you apply for your marriage license more than a week or two before the wedding day.","1. Find your marriage license office
2. Make a reservation
3. After the wedding, your officiant will send your signed license to the marriage license bureau, and then you should receive a certified copy within a few weeks or months (depending on your state).",Getting a Marriage License - US Marriage Laws|http://www.usmarriagelaws.com/marriage_licenses/,,,get_marriage_license.jpg,Required,0
FinishUp,Buy wedding party gifts,1/1/2015,"If the gifts don't already come packaged, think about how you want them to look when you give them out. Also decide when you're going to give them out (the rehearsal dinner is a popular option).","1. Set budget
2. Choose something useful and timeless 
3. Buy gifts and wrap them with thank-yous
4. Decide when to present the gifts",Bridesmaid Gifts: Shopping Tips & Etiquette - TheKnot|http://wedding.theknot.com/wedding-planning/bridal-party/articles/bridesmaid-gift-shopping-tips.aspx,,http://cdnpix.com/show/imgs/79121cf5f7be3949adfbc3d9c8563a77.jpg,,Optional,0
FinishUp,Finalize ceremony,2/1/2015,Go over any detailed ceremony additions you want to make sure they're okay.,"1. Schedule a follow-up meeting or phone call with your officiant to go over ceremony timing and details.
2. Finalize your ceremony readings and who will be reading (and to ask them)
3. Write your vows
4. Finalize the processional order",The Ultimate Guide to the Wedding Processional Order - Brides|http://www.brides.com/blogs/aisle-say/2014/03/wedding-processional-order-guide.html,,http://lh6.ggpht.com/SJC2F-l0J2U1DEhTQCmv7OeNajhFFpF9ZUw31bOklejxK8fydFDvc-e6LSXsju6y5NWzv4XlB1LarbwQ3QrbgF7u=s0,,Required,0
