Category,Title (required),Date (required),,Tutorial (How-to),"Resource (title1|url1,title2|url2,title3|url3...)",Related tasks (row number separated by comma),Image,Image file name,Required or not,Expected Prep Time (hour)
Guest,Register for gifts,4/1/2015,"Tell your guests what you need after wedding, and they are more than happy to buy the things as gifts.","1. Decide how much you want to register for
2. Select items from stores and websites
3. Share your registion with invitees via emails and website","10 Gifts That Should Be On Your Wedding Registry - How Stuff Works|http://lifestyle.howstuffworks.com/weddings/family-gifts/wedding-registry-wedding-gifts/10-gifts-for-wedding-registry.htm,Top 24 Places to Register - Brides|http://www.brides.com/home-wedding-registry/registry-ideas-answers/2011/02/wedding-gift-registries-the-best-places-to-register,10 Tips on Registering for Wedding Gifts - TheKnot|http://wedding.theknot.com/online-wedding-registry/bridal-registry-tips/articles/10-tips-on-registering-for-wedding-gifts.aspx",,https://expertbeacon.com/sites/default/files/when_creating_your_wedding_registry_choose_gifts_you_want_and_need.jpg,register_for_gift.jpg,Optional,8
Guest,Block out hotel rooms,5/1/2015,"Out-of-town guest will be making an extra effort to come to your wedding, so help make their arrangements as easy as possible.","1. Estimate your rooms
2. Make sure the payment policy before you block the rooms
3. Check the details of check-in, check-out, transportation schedule if needed","Questions To Ask When Blocking Hotel Rooms For Your Wedding Guests - GroupTravel|http://grouptravel.org/wedding/questions-to-ask-when-blocking-hotel-rooms-for-your-wedding-guests/,Need a Hotel For Wedding Guests? - GroupTravel|http://grouptravel.org/need-a-hotel-for-wedding-guests/","11,41",,,Optional,4
Guest,Order invitations,6/1/2015,"The first impression that guests will receive of your wedding will come from the invitations. You willl announce the date, time, venues at the same time.","1. Confirm themes and designs
2. Confirm the delivery time 
3. Order your invitations and stamps with extra 10 pieces","How to Address the Envelopes - TheKnot|http://wedding.theknot.com/wedding-planning/wedding-invitations/articles/addressing-wedding-invitations.aspx,Assembling Wedding Invitations: Wedding Invitation Etiquette - DAWN|http://www.invitationsbydawn.com/custserv_content.jsp?pageName=Assembling-Wedding-Invitations",40,http://media-cache-ec0.pinimg.com/736x/c1/0b/12/c10b120d0ed218fd6a99c60d22cca74f.jpg,,Required,8
Guest,Order save-the-dates,6/1/2015,Announce the wedding date to your guests. They will be super excited and start preparation.,"1. Discuss ideas and decide if you want to DIY
2. Confirm the delivery time 
3. Order the cards and stamps with extra 10 pieces",Wedding Invitation Q&As - Bridal Guides|http://www.bridalguide.com/etiquette/etiquette-qas/wedding-invitation-etiquette,40,http://media-cache-ec0.pinimg.com/736x/c1/0b/12/c10b120d0ed218fd6a99c60d22cca74f.jpg,,Optional,6
Guest,Send save-the-dates,7/1/2015,This is one of those milestones that makes the planning you've done so far feel really real! Get them out by the 5-month mark.,"1. Compile list of names and addresses for all invitees
2. Book a calligrapher if you prefer",Wedding Invitation Q&As - Bridal Guide|http://www.bridalguide.com/etiquette/etiquette-qas/wedding-invitation-etiquette,"35,51,53",http://lh3.ggpht.com/3uWdBHTqqFW3zPNjZWViLujSURcvtKThHsuPelOdXAL9BEeWFcIZ0O-NjfpdoCIafJIK6vlVBnpMfhBfMtAR0g=s0,send_saved_the_date.jpg,Optional,2
Guest,Send invitations,9/1/2015,It's the official invitation. Get them out by the 3-month mark. You will know the final headcount after they reply. ,"1. Take a completely assembled invitations
2. Buy stamps for invitation and response envelopes",Wedding Invitation Q&As - Bridal Guide|http://www.bridalguide.com/etiquette/etiquette-qas/wedding-invitation-etiquette,"35,41",http://media-cache-ec0.pinimg.com/736x/c1/0b/12/c10b120d0ed218fd6a99c60d22cca74f.jpg,,Required,4
Guest,Plan transportation,10/1/2015,"No matter you or your guests, all need switch from one venue to another during the day. You can also choose a fashionable vehicle to realize your dreams. ","1. Select type and number of vehicles rented, also including shuttles for out-of-town guests
2. Confirm total cost including gas and mileage, deposit, overtime fee and refund policies
3. Schedule payment and sign contract
4. Provide drivers with directions, pick-up/drop-off addresses and contacts",10 Basic Wedding Transportation Tips - TheKnot|http://wedding.theknot.com/wedding-planning/wedding-transportation/articles/wedding-transportation-planning-basics.aspx,"8,16,17,35,39",http://lh3.ggpht.com/R1HLU5A_cxGSLE2_r0tUy9VuJT_gZZRQ8lrkJf7YiWR8w7stg5BfH-wZspWcN0WcIogp2rQ8vfIdoMIW8lpVrw=s0,plan_transportation.png,Required,4
Guest,Buy a guest book,9/1/2015,Ask your guests to leave best wishes for you on the book. You will enjoy reading it after the wedding.,1. Purchase guest book and pens,Fotavo Wedding Guest Book - Pinterest|http://www.pinterest.com/fotavo/wedding-guest-book/,"8,55",http://lh6.ggpht.com/M_LjvmBoTlWkuCx_qcM47AwM0TllHc7wPjhX1rW8mWBhMNzNGpBR54AxjBycKIOljpLVg8iGtdTw7dyxGEvY5g=s0,buy_a_guest_book.jpg,Required,4
Guest,Buy wedding favors,10/1/2015,Prepare some small gifts and attach your sweet messages to them. The favor is the only thing a guest will take away.,"1. Purchase/DIY favors, with extra 10 pieces
2. Compose message attached to favor",Fotavo Wedding Favors - Pinterest|http://www.pinterest.com/fotavo/wedding-favors/,"35,61",http://lh6.ggpht.com/UawRHoXQBu-GsRwgp36p5tj29WyZgAQyPAFpRwERtxM8jvgf_HYNnG6kOAf1HXM3VVJL5OXjyeKGgczo6DTm7to=s0,buy_wedding_favors.jpg,Required,4
Guest,Buy programs,10/1/2015,"Program is the Day-of agenda. It not only helps guide guests through the ceremony and the reception, but make charming moments. ","1. Double confirm your day-of agenda
2. Purchase/DIY programs",Fotavo Wedding Program - Pinterest|http://www.pinterest.com/fotavo/wedding-program/,"35,77",http://lh3.ggpht.com/234BG7aAEFrdYVYq3tb3yEx8tMmsZqJGUq80zcf22JWzCcX6Hk3pE4W0wfFM-gNkJGkf0r7CuFRUrEOEPL3zWvaW=s0,buy_programs.jpg,Optional,2
Guest,Work on seating,11/1/2015,Seating assignments helps guests find a seat and mingle with the others. You shall make sure both the etiquette and chemical of the whole table look good.,"1. Make follow-up calls to invitees who haven't responded
2. Finalize the headcount and notify caterer, venues, planner, cake baker
3. Work on seating with parents, partner and officiant if needed","Creating A Seating Chart With No Tears - A Practical Wedding|http://apracticalwedding.com/2013/08/wedding-seating-chart-tips/,Fotavo Wedding Escort Cards - Pinterest|http://www.pinterest.com/fotavo/wedding-escort-cards/","50,71,52",https://img0.etsystatic.com/004/0/6750043/il_fullxfull.389366054_sg36.jpg,,Required,4
Guest,Make escort cards,12/1/2015,"It's also called, place card, which helps guests easily find their names and their table number.","1. Purchase/DIY favors, with extra 10 pieces",,"50,51,62",http://lh3.ggpht.com/uYDrGUzJLBwAeUOVD8gQbzvPoG19L6RDPOSUnrZxfWOtoUksEpawCMjQmdlnauv2Xia3egXFA4GB9M4p7vA5OA=s0,,Required,8
Guest,Prepare thank-you cards,12/1/2015,"The cards show your gratitude. Guests are interested in how you plan to incororate their gifts into your home or life. Ideally, get them done within 2 months of your wedding.",1. Purchase/DIY thank-you cards,Wedding Thank You Card Etiquette - Storkie|http://www.storkie.com/t-wedding-thank-you-cards-etiquette.aspx,,,,Optional,4
Photography & Videography,Book photographers,3/1/2015,They are the talents who capture all the moments of your Day. What will you see a lot and show to your friends after the wedding? Photos!,"1. Decide your photo style and service range, including copyrights
2. Research photographers with fiance, and check their real weddings, availability and equipments
3. Book photographers and confirm the team, the payment schedule and insurance policy","How to Choose The Perfect Wedding Photographer - Wedding Paper Divas|http://www.weddingpaperdivas.com/wedding-paper-divas-choosing-right-wedding-photographer.htm,12 things wedding photographers want to tell you but can't - Offbeat Bride|http://offbeatbride.com/2013/07/wedding-photography-secrets,Getting Started: Finding a Great Wedding Photographer - TheKnot|http://wedding.theknot.com/wedding-planning/wedding-photography-videography/articles/wedding-photography-getting-started.aspx","7,8,55,57",https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10257669_10152164800043795_2324060957903303050_n.jpg?oh=cb99fe418f9f220a5c71d86ee6a7b811&oe=545B6B29&__gda__=1417152086_30d35dc0a9045d8dd398bf161c02385c,Book_photographers.jpg,Required,30
Photography & Videography,Take engagement photos,6/1/2015,"These photos will be posted on your invitations, website and reception. Besides, you'll feel more comfortable having a camera pointed at you on the day of.","1. Schedue engagement and take weather into consideration
2. Connect stylists with photographers
3. Confirm photo delivery time","26 Tips For Taking The Perfect Engagement Photo - BuzzFeed|http://www.buzzfeed.com/robinedds/tips-for-taking-the-perfect-engagement-photo#1ueg0iz,Wedding Photography: Engagement Photo Basics - TheKnot|http://wedding.theknot.com/getting-engaged/engaged/articles/engagement-photo-basics.aspx",54,http://lh5.ggpht.com/T2oAypLybW8DooHZ_MaMjr5hGCBWFqZJ8Wmecw-PSsOFLRc9e68LzS9K2Umq98NGK2w1_dYR7XCkpH0NDjbGPAzK=s0,,Required,12
Photography & Videography,Book videographers,4/1/2015,"A wedding video captures what the photos can't -- like your father's speech, your first dance, or your dress in motion. ","1. Decide your video style and service range, including copyrights
2. Research videographers with fiance, and check their real weddings, availability and equipments
3. Book videographers, and confirm the team, the payment schedule and insurance policy",Tips for Booking a Wedding Videographer - Tower Studios|http://www.towervideophoto.com/2011/11/20/tips-for-booking-a-wedding-videographer/,"7,8",http://www.cardinalbridal.com/wp-content/uploads/2014/04/importance-of-wedding-videography2.jpg,,Optional,16
Photography & Videography,Confirm shotlist,11/1/2015,Make sure every loved ones has a picture with you on the day. Your vendors also need this to plan their work.,"1. Confirm the shotlist of:
   - Getting ready
   - Before the bride and groom see each other
   - Important moments",Must-Take Wedding Photo Checklist - Real Simple|http://www.realsimple.com/weddings/ceremony/must-have-wedding-photos-00000000000226/,12,http://lh4.ggpht.com/MRfO0TO9dtDihum-bOWvbU2c3HwN0CSLLXCx7Ot-Dc0h87ayM9pVYgSn7wVo-xPlPXyvX5-JPLZyjxuXasZDwA8=s0,,Required,2
Flower & Decor,Book florist ,6/1/2015,A qualified florist can help you create your dream atmosphere by floral design and arrangement within the budget.,"1. Interview 3-5 florists and see their samples
2. Share table, aisle, gazebo sizes 
3. Book florist, and confirm payment schedule, delivery and sign contract",Florist - Fotavo|http://www.fotavo.com/photos/photobvOQZSAJCiezaEckIXYs39Md68tBRmn05DgwKyxT,"8,71",http://lh4.ggpht.com/dE4gQ5e4PVTUsyYIM8MNgwzN-4Osv5IOXjCwaCXMSzR42EokZl2VJ0LEPW80Pdl7uX9hjLW7dJt75_WmQM85XY7M=s0,,Required,24
Flower & Decor,Choose floral design,7/1/2015,Floral design tells your personality and the wedding themes.,"1. Select floral designs to match your themes and colors
2. Take seasonal factors into consideration",,,,,Required,
Flower & Decor,Prepare decor,10/1/2015,It's the time to show your personality and your unique love stories.,"2. Discover inspirations and DIY tips
3. Invite others to join the projects if you need help",Lace Up Your Wedding: 6 DIY Projects - BRIT+CO|http://www.brit.co/lace-up-your-wedding-6-diy-projects/,52,http://pixel.brit.co/wp-content/uploads/2012/03/TableRunner2.jpg,,Optional,40
Flower & Decor,Order rentals & lighting,10/1/2015,Upgrade your decoration now!,"1. Interview candidates to check their inventory, delivery, insurance policy
2. Share venue layout, and table, aisle, gazebo sizes
3. Schedule payment and sign contract",,"7,8,16,59",http://lh4.ggpht.com/PDoVqoemxOy4zSfgc2Fmso4U9HTCqX_E5mTNgGWUa50r2UPyj7cqQWHJvyjN4ntMeCAMX6TpR6sN_1W_8jN5J3Q=s0,,Optional,12
"Food, Toast & Entertainment",Book caterer,5/1/2015,Treat your guests with a set of delicious food.,"1. Ask your venue/friends if they recommend any chef
2. Confirm the operating license and food style: seated, buffet, station and cocktail
3. Ask for details to fit your budget, style, season, free sodas, corkage fee and allergy 
4. Book caterer, schedule the payment and sign the contract",Complete Guide To Hiring A Caterer - Our Dream Wedding|http://www.ourdreamwedding.com/index.cfm?page=wedding_articles_1&crid=60,"11,16,50,74",http://lh5.ggpht.com/xg45TxSH4Kyb1M4H41gi8dgRNPc8wuyYQptgiztbaKQNVlxg-GNNQnmYzoEm09LfTccHTDruLnDh0NVJsryqbA=s0,,Optional,30
"Food, Toast & Entertainment",Book DJ / band,7/1/2015,"Music is a trigger. It helps set the mood for the entire wedding, and highlights certain moments.","1. Interview 2-3 finalists and ask their suggestions to fit your wedding
2. Ask if they will be the master
3. Book DJ / band, confirm payment schedule and sign the contract
4. Confirm the song list with timeline","Questions to Ask a DJ - mydeejay|http://mydeejay.com/wedding-advice/questions-to-ask-a-dj-wedding,15 Questions You Gotta Ask Wedding DJs - j'adoreDJs|http://www.jadoredjs.com/15-questions-ask-wedding-djs","7,16,66",http://lh5.ggpht.com/T4ysWGftTBecdIEXPjwSsHUhCpFE9FwgmJE0JS2IIaOhe4ouGqKFFBiz2hIJPfuypsZNMwtgm8w9CG5RrOHE50M=s0,,Required,16
"Food, Toast & Entertainment",Book ceremony musicians,7/1/2015,"Live music will contribute immeasurably to the mood of your ceremony. Prelude, processional and recessional, all need enhance the mood of the gratitude and gathering. ","1. Interview 2-3 teams and ask their suggestions to fit your wedding
2. Book musicians, confirm payment schedule and sign the contract
3. Go through details with site coordinator and officiant, i.e. timing, equiupment, song list
",Practical Advice from Art-Strings - Art-Strings|http://www.art-strings.com/faq.htm,"7,17",http://www.italianlakeswedding.com/blog/wp-content/uploads/2011/04/3-harp.jpg,,Optional,12
"Food, Toast & Entertainment",Book cake baker,8/1/2015,Cake-cutting is an essential element of reception. Have a cake or a dessert that represents you and your partner. ,"1. Browse 2-3 teams with their real cakes
2. Schedule cake tastings 
3. Check if the venue/cake baker requires a cake-cutting fee
4. Book baker, schedule the payment, delivery, rental items and sign the contract ",How to Get a Lower Wedding Cake Price - WikiHow|http://www.wikihow.com/Get-a-Lower-Wedding-Cake-Price,"11,16,50,72,74",http://lh5.ggpht.com/0UOwCMPy_j5kVZ0QcMvC9EQ-Fo4dqjgnbbZB3yZgj-ig-BQyxOYqGEvfzTWBHz_UP7IgnkSPed05chkUODBQ22k=s0,,Required,30
"Food, Toast & Entertainment",Take dance lessons,8/1/2015,"When your song started and he puts his arms around you, the whole rest of the world goes away and you two will get totally lost in each other for 3-4 minutes. After the wedding, anytime you hear ""the song"",  you will re-live that one absolutely perfect moment.","1. Choosing a dance style and song
2. Book classes or self-learn it
3. Practice in the right shoes","Wedding Dance Lessons - Arthur Murray|http://arthurmurray.com/wedding-dance-lessons/,Hottest Songs for Every Element of Your Wedding (keep updating) - Fotavo Tumblr|http://fotavo.tumblr.com/post/93132715364/hottest-songs-for-every-element-of-your-wedding-keep","7,8,69",http://media.tumblr.com/8ab13ec63a971ace59817e1d66b14855/tumblr_inline_n9fr4euWYd1sd18uf.jpg,,Optional,24
"Food, Toast & Entertainment",Choose cakes & toppers,9/1/2015,Cake tasting time! And make your dream cake come true.,"1. Visit cake bakers to taste cakes
2. Choose cake flavors, and take catering menu, allergy into consideration 
3. Buy a topper (online / in-store)",,"71,73",http://lh3.ggpht.com/8tPZQIPtrJ4AdkJ4VaEywdLcZHI5vR-Bem8d-i1pUsMbxp7P0TMCFW980lpy6bqvBiuu5gLd2ZKzZed6XkVdeAPb=s0,,Required,16
"Food, Toast & Entertainment",Prepare toasts,9/1/2015,"A big glass-clinking moment! A wedding toast is given generally before the meal to commemorate the marriage, offer some personal back story and wish the couple well.","1. Confirm toasters for rehearsal dinner and reception
2. Share a guideline with toasters
     - Relation with the couple
     - Anecdote","Wedding Toast 101|Wedding Toasts 101,Write and Give a Great Wedding Toast - About Travel|http://honeymoons.about.com/od/weddingsaway/ht/wedding_toast.htm,Samples of Wedding Toasts - About Style|http://weddings.about.com/od/theweddingparty/a/toastsamples.htm",4,http://lh6.ggpht.com/O6iBpbOUCF8mgqgSNqlMkC1wSb_iNyv9c4QYoFYuBmdbIQ_C4PUUr0DQQE6vK6Lpox71ni9AyAshI4gqNd2KCg=s0,,Required,6
"Attire, Beauty & Ring",Try on wedding dresses,3/1/2015,"Picking the right wedding gown is important because you want to feel beautiful, comfortable, and special on your day. The better you feel about yourself in the dress, the more confidence you'll have.","1. Visit 3-6 shops with your mom or BFFs
2. Wear your preferred undergarments to shops
3. Buy the size that fits the biggest part of your body","33 Crucial Tips To Find The Wedding Dress Of Your Dreams - BuzzFeed|http://www.buzzfeed.com/juliegerstein/wedding-dress-shopping-tips#1ueg0iz,How to find a wedding dress: 21 things I wish I'd known - Today Style|http://www.today.com/style/how-find-wedding-dress-21-things-i-wish-id-known-2D79793378",19,http://lh5.ggpht.com/Fgz9wLFkPyPD_eSwieOBq65Dy1Is4dgbe7Uf7wL9UslVxr0eZahAehw2egYbHfEn74AMkwFkehsBD-tD572-J_I=s0,try_on_wedding_dress.jpg,Required,20
"Attire, Beauty & Ring",Buy your dresses,5/1/2015,A wedding dress is the single most important piece of clothing you’ll ever wear!,"1. Buy dress, confirm delivery and sign contract
2. Schedule the first fitting and ask recommendations of undergarments","Wedding Dress Shopping Countdown - TheKnot|http://wedding.theknot.com/bridal-fashion/wedding-dress-shopping/articles/wedding-gown-shopping-checklist.aspx,10 Wedding Dress Buying Mistakes to Avoid - eBay|http://www.ebay.com/gds/10-Wedding-Dress-Buying-Mistakes-to-Avoid-/10000000177632540/g.html","8,21,23,24,25,26",http://lh6.ggpht.com/0qwjt5ZR_BJbE61oU6Fiszw6v_oSnfEQyArv2n6ZIinXeogqSTq8TnycOHYNM2tBgmPJ-VfzNAzqgkD_JQrDYtU=s0,,Required,6
"Attire, Beauty & Ring",Buy bridesmaid dresses,7/1/2015,It is what some of your most important people will be wearing on one of your most important days. ,"1. Consider bridesmaids' personal preferences / concerns and your theme color
2. Claify who pay for the attire
3. Visit 2-3 shops to buy / share color swatches if they select their own dresses","12 Tips for Choosing the Right Look - TheKnot|http://wedding.theknot.com/bridal-fashion/bridesmaid-dresses/articles/12-tips-for-choosing-the-right-bridesmaid-dresses.aspx,The First 5 Steps to Shopping for Bridesmaid Dresses - Real Simple|http://www.realsimple.com/weddings/dress-attire/bridesmaid-dress-shopping-00100000098651/","4,8,21,23,24",http://lh5.ggpht.com/cZwMa3hHi0qLc50d1Kn-2eD6c55iVxmVW3Xh1j_2ds3J8-qd2l3q0anRFQqVd5sLNdU7BxJteh4HsGyYWozE2YM=s0,buy_bridesmaid_dresses.jpg,Required,8
"Attire, Beauty & Ring",Buy or rent men's attire & extras,7/1/2015,Tuxedos or suits? Decide what you want the guys to wear and how you want them to look with you. ,"1. Make appointments with 1-2 stores
2. Ask men to come and pick up their attire with 1-2 your bridesmaids
3. Ask tailoring if needed
4. Buy the attire & extras, and confirm delivery and cancellation policy","How to Choose a Tuxedo for the Groom - WikiHow|http://www.wikihow.com/Choose-a-Tuxedo-for-the-Groom,I Do’s (and Don’ts) - For Choosing Your Formalwear Provider - TUXEGO|http://www.tuxego.com/i-dos-and-donts.php","4,8,25",http://lh6.ggpht.com/T4Zdwjt1oxXLuqJAIBX8dMcNV6PtIIbRSjbEdfuB6qVqpEVmel-WvIkxTb3Vx6L76DbEkb0697YfDjcFg-rqSPg=s0,buy_or_rent_mens_attire.jpg,Required,6
"Attire, Beauty & Ring",Book beauty stylists,6/1/2015,Make your hair to look impeccable and match your wedding theme.,"1. Interview 3-5 stylists and discuss your favorite styles and your allergy history
2. Schedule trials. You can do one on the engagement photo day.
3. Book stylists, confirm team, payment scheule and sign the contract","Bridal Beauty: Brows that Wow - TheKnot|http://wedding.theknot.com/wedding-beauty-tips/bridal-beauty-secrets/articles/bridal-beauty-brows-that-wow.aspx,Bridal Beauty: Top Wedding Beauty Q&A - TheKnot|http://wedding.theknot.com/wedding-beauty-tips/bridal-beauty-secrets/articles/top-bridal-beauty.aspx",23,http://lh4.ggpht.com/A5HPgyz7BrqI-SC0YoqzGggagFAiDsQ-VutrxUFZxgRrCaYWAnaE-Gy3gIy8WklgPEB0O9MExoVHi4MAADtbGS2d=s0,book_beauty_stylists.jpg,Required,10
"Attire, Beauty & Ring",Buy wedding rings,8/1/2015,"By wearing a wedding ring, you two acknowledge your marital commitment publicly and in a continual way. It is a visual symbol of your past promises, your present blessings and your shared destiny for the future. ","1. Browse around and ask your friends for recommendations
3. Buy wedding rings and confirm delivery","10 Quick Tips on Choosing a Wedding Band - Overstock|http://www.overstock.com/guides/10-quick-tips-on-choosing-a-wedding-band,How To Pick a Weding Band That Works With Your Engagement Ring - Brides|http://www.brides.com/wedding-dresses-style/2012/05/matching-engagement-rings-and-wedding-bands#slide=1",8,http://lh6.ggpht.com/0_uYk87bp8Jv4B0blDcUYhABo1fXlSoRlq7BvT978F7EvKLiER6Yfmb_66dge3CbG1AhZ1vlOCL2fYL2F93hNQ=s0,buy_wedding_rings.jpg,Required,8
"Attire, Beauty & Ring",Have your fitting,9/1/2015,It can weigh in on how the dress fits you and make you feel more comfortable during the day.,"1. Ask at least one person to come along
2. Bring essentials to the fitting
3. Schedule the next fitting if needed
4. Confirm pick-up time","Bridal Fittings 101: advice from a former tailor shop employee - Offbeat Bride|http://offbeatbride.com/2009/12/bridal-fitting-advice,All You Need to Know About Wedding Dress Fittings - Brides|http://www.brides.com/wedding-dresses-style/wedding-dresses/2009/07/all-you-need-to-know-about-wedding-dress-fittings","24,34",http://chic-dresses.com/pdata/t/l-4161.jpg,have_your_fitting.jpg,Required,4
