Category (required),Title (required),Date (required),Description,Tutorial (How-to),Resource (separate by comma),Related tasks (row number separated by comma),Image
Overall,Get marriage license.,11/1/2015,"Before you head down to the clerk's office, check out their website. Most counties won't let you apply for your marriage license more than a week or two before the wedding day.",,,,
Overall,Confirm final payments.,11/1/2015,"Make sure you're all paid up with your vendors (that, or you have an agreement as to when the final payments will come in). You don't want it hanging over your head on the honeymoon!",,,,
Overall,Make a day-of timeline.,12/1/2015,This is critical especially if you don't have a wedding planner to do it for you. Take your time and be thorough with the details. Then send it out to the bridal party and make lots of extra copies!,,,,
Overall,Confirm timeline and delegation,12/1/2015,"Get them together in person and go through everything, or send them and email (and make sure they've read it!). This is also the time to confirm any VIP toasts.",,,,
Overall,Review your pros,12/1/2015,Obsessed with the way your cake turned out? Couldn't have done it without your planner? Rate your wedding vendors so that other brides know who to hire.,,,,
Overall,Share your wedding,12/1/2015,"Once you get your wedding photos back, share them. Upload them to TheKnot.com, tag your vendors and get featured!",,,,
Parties & Entertainment,Set engagement party date.,2/1/2015,Not everyone has one. Traditionally the bride's parents host but anyone can throw it for you. And it can be as formal or casual as you want -- have it at a restaurant or even your parents backyard. At this point you'll want to set a date and draft the guest list.,,,,
Parties & Entertainment,Plan the shower,4/1/2015,,,,,
Parties & Entertainment,Plan the rehearsal dinner.,6/1/2015,Laid-back and casual? Or more formal? Look for rehearsal dinner sites in your area and provide the host with contact information for your attendants and any other guests.,,,,
Parties & Entertainment,Book rehearsal meal,7/1/2015,"Secure the venue and then firm up the details for the evening. That includes the menu, guest list and any special activities the host is planning.",,,,
Parties & Entertainment,Take dance lessons,8/1/2015,"If you dread the idea of all eyes on you during the first dance, you might want to consider dance lessons. (Also makes for a fun date night in the midst of all the planning!)",,,,
Parties & Entertainment,Mail rehearsal invites.,11/1/2015,"If you haven’t already, now is the time to send out all the rehearsal dinner details. Have guests RSVP to the host at least a week before the wedding so you can give the venue a final count.",,,,
Parties & Entertainment,Plan a welcome party.,11/1/2015,"It’s not at all required but if you’re going to have one, it’s time to start planning the menu and details. A welcome party is hands-down a great way to get all your guests mixing and mingling early!",,,,
Parties & Entertainment,Have your rehearsal,12/1/2015,"Because you might not have time for it on the wedding day (it oftentimes feels like a blur), use this time to really catch up with everyone and welcome friends and family.",,,,
Parties & Entertainment,Have welcome party,12/1/2015,,,,,
Venue,Visit ceremony sites,2/1/2015,"If you belong to a house of worship, ask about open dates and pricing. If that’s not the case, then start your search right here. Find a few places you like, and then schedule time to take a tour.",,,,
Venue,Visit reception venues,2/1/2015,"Start your search online -- look at photos and read reviews. Then, narrow it down to a handful of your favorites and call to set up site tours. When you're there, ask lots of questions.",,,,
Venue,Book your reception venue,3/1/2015,"This is a biggie! First, request a contract. Then read through it very carefully. If you have questions, ask. You should be absolutely comfortable with the contract before you sign the dotted line",,,,
Venue,Book your ceremony site,3/1/2015,"If it’s a non-religious space, request a contract and put down a deposit. Now is also the time to find out about marriage license requirements (so that you have time to gather necessary documents).",,,,
Venue,Book wedding night hotel room.,7/1/2015,"When you call to make a reservation, be sure to mention that you're booking the room for your wedding night. You might get a free upgrade.",,,,
Fashion & Beauty,Save dress photos!,1/1/2015,,,,,
Fashion & Beauty,Try on wedding dresses.,2/1/2015,It's time to try on those styles you've been saving to your board! So grab your mom or best friend and make appointments at several stores. And give yourselves at least two hours at each store.,,,,
Fashion & Beauty,Insure your ring.,2/1/2015,"Putting a policy on your engagement ring may sound unromantic, but the peace of mind is probably worth it. There are few different ways to do it, so read up below!",,,,
Fashion & Beauty,Make a beauty plan,2/1/2015,Get serious about your skincare (if you aren't already) by starting a good regimen. And put together a fitness plan. A few sessions with a trainer can really help jump-start your routine.,,,,
Fashion & Beauty,Try on wedding dresses.,3/1/2015,,,,,
Fashion & Beauty,Try on wedding dresses.,4/1/2015,,,,,
Fashion & Beauty,Try on wedding dresses.,5/1/2015,,,,,
Fashion & Beauty,Save hairstyle photos,5/1/2015,"When you envision yourself on wedding day, what do you see? Save hair and makeup ideas to your planner -- pick a variety of options to show your hairstylist and makeup artist during your trials.",,,,
Fashion & Beauty,Buy your dresses,6/1/2015,"You want to give yourself plenty of time to order the dress and then to have alterations and fitting appointments. Once you buy it, you’ll also want to schedule time for your first dress fitting.",,,,
Fashion & Beauty,Choose bridesmaid dresses.,7/1/2015,"Once you have a good idea as to how you want them to look, take one or all of your bridesmaids dress shopping. Then make your pick!",,,,
Fashion & Beauty,Choose attires,7/1/2015,"Tuxedos or suits? Decide what you want the guys to wear and how you want them to look. Hint: Usually time, place, and formality are the driving forces behind your choice.",,,,
Fashion & Beauty,Find beauty stylists,8/1/2015,"You obviously want your hair to look impeccable. Find a few hairstylists you think you like, and then schedule trials with them so that you can be absolutely sure you’ve chosen the right person.Maybe you found someone to do both hair and makeup. In many cases though, these two different people. Do your homework and then schedule a couple makeup trials to find someone you like.",,,,
Fashion & Beauty,Buy or rent formalwear.,8/1/2015,,,,,
Fashion & Beauty,Shop for wedding rings.,9/1/2015,"Look through our gallery, visit jewelry stores, and ask friends for recommendations. You'll want to give yourselves a couple months to browse, research price and revisit rings that catch your eye.",,,,
Fashion & Beauty,Order your wedding rings.,9/1/2015,"Now that you've shopped around and done your homework, it's time to order your wedding rings. Want to really personalize it? Engrave the inside with a meaningful phrase or your wedding date.",,,,
Fashion & Beauty,Have your first fitting.,9/1/2015,It's a good idea to bring one person (your mom or a friend) along with you for this. That way they can weigh in on how the dress fits you and make you feel more comfortable during the appointment.,,,,
Fashion & Beauty,Buy dress essentials (for under the dress).,10/1/2015,What you wear under the dress is almost just as important to looking good as the gown itself. Ideally you’ll want to buy before your first fitting.,,,,
Fashion & Beauty,"Buy formalwear extras (like pocket squares, bow ties, and ties)",10/1/2015,The type of formalwear usually dictates the accessories -- but this is the place to show some style. Find a tie that sets him apart from the and splurge on a great pair of dress shoes.,,,,
Fashion & Beauty,Have your hair trial.,10/1/2015,Have a final hair trial with your stylist. Don’t forget to bring your wedding veil to make sure it works with your style. You should also finalize your wedding day beauty appointments now.,,,,
Fashion & Beauty,Buy dress accessories.,11/1/2015,The right jewelry and shoes completes the look. So figure out how you want to finish off your look and then buy it before your final dress fitting.,,,,
Fashion & Beauty,Have a last dress fitting.,11/1/2015,"Have Your Last Dress Fitting There might be some butterflies at this appointment. It's totally normal! At this point, your dress should fit you nice and tight and all of your accessories should look just right.",,,,
Guest & Guestlist,Start your guest list.,1/1/2015,"Use our guest list manager to do this. Start with immediate family and friends, then move on to the rest of the invitees in order of importance. (Sounds harsh but it's the best way to keep organized.)",,,,
Guest & Guestlist,Start a wedding website (free),1/1/2015,You don't have to be a genius to make one. It's super simple. Start by adding the story of how you met and got engaged. The other essential info like venue details and hotels can come later.,,,,
Guest & Guestlist,Make guest list,2/1/2015,,,,,
Guest & Guestlist,Make guest list,3/1/2015,,,,,
Guest & Guestlist,Save invitation photos.,3/1/2015,Find gorgeous invitation photos (search by color and style) in our gallery and save all of your favorites to your planner so that you can start to get an idea as to how you want your invites to look.,,,,
Guest & Guestlist,Finalize your guest list.,4/1/2015,Finish up those family negotiations and finalize that guest list. Need help making the list of your VIPs? Read our expert advice for deciding who should make the final wedding guest list cut.,,,,
Guest & Guestlist,Register for gifts.,4/1/2015,You don't have to finish your registry list all in one day. Take your time but start now. And make sure you add all your registry links to your wedding website so guests know where you’re registered!,,,,
Guest & Guestlist,Save invitation photos.,4/1/2015,Find gorgeous invitation photos (search by color and style) in our gallery and save all of your favorites to your planner so that you can start to get an idea as to how you want your invites to look.,,,,
Guest & Guestlist,Block out hotel rooms,5/1/2015,"You might want to start with fewer rooms and then add more if needed (some hotels require you to pay for rooms that go un-booked). Also, don’t forget to add hotel contact info to your wedding website!",,,,
Guest & Guestlist,Save invitation photos.,5/1/2015,Find gorgeous invitation photos (search by color and style) in our gallery and save all of your favorites to your planner so that you can start to get an idea as to how you want your invites to look.,,,,
Guest & Guestlist,Order your invitations.,5/1/2015,Make your final design picks and order those invites. You’ll finalize the wording at this time too. Also think about how you want to address them (calligraphy?) and don’t forget the stamps!,,,,
Guest & Guestlist,Order save-the-dates.,6/1/2015,"If you have a designer in mind (local or online), now is the time to order. Going the DIY route? Buy the supplies and start working. You'll want to mail them between six and eight months beforehand.",,,,
Guest & Guestlist,Find stationery designers.,6/1/2015,,,,,
Guest & Guestlist,Send save-the-dates.,7/1/2015,This is one of those milestones that makes the planning you've done so far feel really real! Get them out by the six month mark (more like eight months if you have a lot of out-of-town guests).,,,,
Guest & Guestlist,Book a calligrapher,7/1/2015,"Not everyone uses one, but if you can afford it, you'll save yourself a lot of time (and your envelopes will look amazing). Find calligrapher recs online and ask nearby stationery designers for ideas.",,,,
Guest & Guestlist,Address your invitations.,8/1/2015,"Once you have them in hand, you may have a few more steps still to go. Address the envelopes (or get them to your calligrapher), and then package them up. Host an invite-stuffing party if it helps!",,,,
Guest & Guestlist,Mail your invites,9/1/2015,"Get them out by the three-month mark. If you don't want the post office to add a giant stamp across the front of the envelope, you can ask to have them hand-canceled.",,,,
Guest & Guestlist,Figure out transportation,9/1/2015,"Consider both luxuries (such as limos for you and your families) and essentials (for example, parking). Then outline what it is you need, do your research, and narrow down your options.",,,,
Guest & Guestlist,Get a guest book.,9/1/2015,"You could go the traditional route and get a blank book or you could get really unique here. Look through our gallery of ideas and get the supplies you need to make it, or buy it in The Knot Shop.",,,,
Guest & Guestlist,Buy wedding favors.,10/1/2015,"If you’re making them, start working on them. This is also the time to order any packaging supplies. (Hint: The Knot Shop has some really cute favors and favor packaging supplies.)",,,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ0mA5MC8xiVRzT9KwFA5gDq0K-NXek78LMrqRqu3ttMDIIEoYXlg
Guest & Guestlist,Save program photos to your planner.,10/1/2015,,,,,
Guest & Guestlist,Finish ceremony programs.,10/1/2015,"If you're making them yourselves, have a few friends over and finish them up. If you ordered them, get them in hand and assembled. You're getting close!",,,,
Guest & Guestlist,Buy wedding party gifts.,11/1/2015,"If the gifts don't already come packaged, think about how you want them to look when you give them out. Also decide when you're going to give them out (the rehearsal dinner is a popular option).",,,,
Guest & Guestlist,Send shower thank-yous.,11/1/2015,You're going to have a lot of these to write so it's a good idea to get the bridal shower thank-yous done quickly. That way they don't start to overlap with any gifts you get for your wedding.,,,,
Guest & Guestlist,Confirm guests,11/1/2015,,,,,
Guest & Guestlist,Work on seating,11/1/2015,"The RSVPs should have started rolling (if they don't, pick up the phone). And because seating assignments isn’t exactly an easy task, read our survival tips and get started early.",,,,
Guest & Guestlist,Work on escort cards.,12/1/2015,"If you ordered escort cards, it's time to pick them up and organize them. If you're doing the DIY route, then now is the time to start working on them.",,,,
Guest & Guestlist,Finish thank-you notes.,12/1/2015,"Ideally, you should try to get them done within two months of your wedding.",,,,
Photography & Videography,Find photographers.,2/1/2015,You should absolutely love the person you hire. Ask friends with fantastic photos and use our photographer finder. Narrow it down to your top three and set up interviews with them.,,,,
Photography & Videography,Book your photographer.,2/1/2015,"Now that you've met with a few, it's time to make a decision and book. Call references first (it can't hurt to double-check), then request a contract and review it for all the critical points.",,,,
Photography & Videography,Take engagement photos.,3/1/2015,"They're an extra cost but an engagement photo shoot is well worth the money. Why? Besides the fact you'll get great photos, you'll feel more comfortable having a camera pointed at you on the day of.",,,,
Photography & Videography,Find videographers.,5/1/2015,"A wedding video captures what the photos can't -- like your father's speech, your first dance, or your dress in motion. Research the pros, read our tips, and set up time to meet with your favorites.",,,,
Photography & Videography,Book videographers,6/1/2015,,,,,
Photography & Videography,Confirm shotlist,11/1/2015,,,,,
Flower & Decor,Save flower photos.,3/1/2015,"Browse photos and save the bouquets, centerpieces and little flower details you love. That way you'll have something to share with your florist.",,,,
Flower & Decor,Save flower photos.,4/1/2015,"Browse photos and save the bouquets, centerpieces and little flower details you love. That way you'll have something to share with your florist.",,,,
Flower & Decor,Find florists,5/1/2015,"You want to find someone you trust to make the right floral decisions -- someone who instinctively knows what will look good together. Once you've narrowed it down to two or three, meet in person.",,,,
Flower & Decor,Book your florist.,6/1/2015,"Once you've read through your floral proposals and met with your top picks, book your favorite. Review the contract carefully and that it includes all of the ideas you talked about!",,,,
Flower & Decor,Save program photos ,6/1/2015,"Take time to look for ceremony programs, escort cards, and any signage you might want. Save your favorite ideas to your planner and come up with a list of what you think you need.",,,,
Flower & Decor,Save program photos ,7/1/2015,"Take time to look for ceremony programs, escort cards, and any signage you might want. Save your favorite ideas to your planner and come up with a list of what you think you need.",,,,
Flower & Decor,List rentals and lighting.,7/1/2015,You can rent everything from a clear-top tent to bistro lights for over the dance floor and lounge furniture. Make a list of what you need and then start researching lighting and rental companies.,,,,
Flower & Decor,Order rentals and lighting.,9/1/2015,"Once you've figured out what you need to rent and called around for pricing info, put in your order. At this point, you'll also want to work out delivery, setup and take down details.",,,,
Music,Find bands and DJs.,6/1/2015,"Decide band or DJ. (Or hire both!) Do lots of homework, read reviews, listen to samples and see them in person if you can. Pick your favorites and then set up appointments to meet them.",,,,
Music,Find ceremony musicians.,6/1/2015,"Traditional organ? Or modern DJ music? Put together a budget for your ceremony music and then start your search. Come up with two to three options, and then set up appointments to meet with them.",,,,
Music,Book your DJ or band.,7/1/2015,"Decide which band or DJ you love, and request a contract to reserve your date. If you have questions, ask. You should be absolutely comfortable with the contract before you sign the dotted line.",,,,
Music,Book ceremony musicians.,7/1/2015,"Now that you've had a chance to listen and meet with your ceremony music options, decide who you want to go with. Request a contract, read it carefully, and book them to reserve the date!",,,,
Catering & Cake,Find and meet caterers,5/1/2015,Look online for wedding caterers in your area and ask recently married friends for recommendations. Narrow it down to two or three and set up times to meet and taste their menu options. (Yum.),,,,
Catering & Cake,Book your caterer,5/1/2015,"Now that you've met with a few caterers and hashed out a rough price per head for each, it's time to book. Read and re-read the contract, then sign it and put down the deposit.",,,,
Catering & Cake,Save cake photos.,5/1/2015,"Your cake design is your chance to drive home your favorite colors, flowers, and theme -- not to mention flavors! Look at tons of photos and save your favorites to show your cake baker.",,,,
Catering & Cake,Find cake bakers,7/1/2015,"Ask newlywed friends, your venue, or caterer; or use a favorite bakery. Narrow it down to two or three bakers and then set up a time to meet in person and have a tasting!",,,,
Catering & Cake,Book your cake baker.,7/1/2015,"Once you've had a chance to taste all the samples (yum), and talk design, decide on a baker. Request a contract and make sure all the details are there (like flavor and fillings). Then book!",,,,
Speech & Toast,Prepare your toasts.,9/1/2015,,,,,
Speech & Toast,Choose ceremony readings.,10/1/2015,,,,,
Speech & Toast,Finalize your ceremony.,10/1/2015,,,,,
Speech & Toast,Finalize ceremony vows.,11/1/2015,"You definitely don't want to have this one hanging over your head right before the wedding. Once they're finished, print them out onto nice paper that you can read off of during the ceremony.",,,,
Speech & Toast,Decide on receiving line order,11/1/2015,,,,,
Religious & Tradition,Find ceremony officiants,4/1/2015,"If your ceremony site isn't a house of worship, contact city or town halls and ask about judges or justices of the peace and use our officiant finder. You could even ask a friend to do it.",,,,
Religious & Tradition,Book your officiant.,4/1/2015,"If it's a nondenominational person, there will probably be a contract and a deposit involved. This is also the time to start scheduling any premarital counseling sessions (if you're doing them).",,,,
Religious & Tradition,Prepare your toasts.,9/1/2015,"Among the big glass-clinking moments, there's the rehearsal dinner and the reception dinner. Plan to say a few words. Look through our list of ideas and then print out or come up with your own toast.",,,,
Religious & Tradition,Choose ceremony readings.,10/1/2015,"Great resources include religious texts, poetry and plays, children's books, song lyrics, or even your own love letters. This is also the time to decide who will be reading (and to ask them).",,,,
Religious & Tradition,Finalize your ceremony.,10/1/2015,Schedule a follow-up meeting or phone call with your officiant to go over ceremony timing and details. Go over any personalized ceremony additions you want to make sure they're okay.,,,,
Religious & Tradition,Finalize ceremony vows.,11/1/2015,,,,,
Religious & Tradition,Decide on receiving line order,11/1/2015,,,,,
Honeymoon,Decide on a honeymoon location.,8/1/2015,"Ask friends, family, and even travel agents to help you find your ideal vacation spot. Narrow it down to your top three to five spots and then start keeping an eye out for flights.",,,,
